Student_ID,Name,Gender,Branch,Semester,Internal_Marks,External_Marks,Assignment_Score,Total_Marks,SGPA,Grade,Attendance_Percentage,Lecture_Attended,Lecture_Missed,Late_Coming_Count,Study_Hours_Per_Day,Assignment_Submission_Rate,Notes_Completion_Rate,Core_Subject_Avg,Technical_Subject_Avg,Practical_Score,Project_Score,Group_Activity_Score,Communication_Score,Average_Marks,Attendance_Status,Performance_Index,Final_Result,Performance_Label,Risk_Level
S0001,Prachi,Female,Electrical,1,22,70,13,105,10.0,A,100,120,0,7,3.9,78,98,65,45,38,88,83,42,35.0,Fail,67.5,Pass,Excellent,Low
S0002,Siddharth,Male,ENTC,1,22,51,12,85,8.5,A,93,111,9,9,4.2,100,81,66,44,83,89,36,59,28.33,Fail,56.66,Pass,Excellent,Low
S0003,Rohan,Male,CSE,7,18,25,10,53,5.3,D,35,42,78,7,1.8,94,36,63,62,55,30,30,33,17.67,Fail,35.34,Pass,Poor,High
S0004,Vihaan,Male,CSE,7,24,45,16,85,8.5,A,51,61,59,12,7.0,100,81,95,80,81,84,67,63,28.33,Fail,56.66,Pass,Excellent,High
S0005,Tanish,Male,IT,1,18,27,11,56,5.6,D,44,52,68,8,3.4,67,100,45,30,66,68,30,58,18.67,Fail,37.34,Pass,Poor,High
S0006,Sneha,Female,CSE,4,24,57,17,98,9.8,A,89,106,14,10,4.5,79,92,91,63,56,78,53,66,32.67,Fail,65.34,Pass,Excellent,Low
S0007,Aman,Male,ENTC,7,30,58,19,107,10.0,A,90,108,12,12,3.4,93,69,40,54,87,42,66,66,35.67,Fail,67.84,Pass,Excellent,Low
S0008,Tanish,Male,Civil,5,29,59,23,111,10.0,A,93,111,9,0,6.9,100,93,95,67,74,84,88,79,37.0,Fail,68.5,Pass,Excellent,Low
S0009,Shubham,Male,Civil,4,21,30,13,64,6.4,C,47,56,64,12,2.9,76,74,60,47,58,37,65,45,21.33,Fail,42.66,Pass,Poor,High
S0010,Kunal,Male,Civil,1,13,30,19,62,6.2,C,71,85,35,2,1.4,56,51,50,42,35,51,100,84,20.67,Fail,41.34,Pass,Poor,Medium
S0011,Ishita,Female,Electrical,7,19,34,9,62,6.2,C,90,108,12,6,2.7,69,50,47,30,56,77,58,86,20.67,Fail,41.34,Pass,Poor,Medium
S0012,Palak,Female,ENTC,5,24,27,24,75,7.5,B,48,57,63,12,5.3,84,100,81,42,66,64,47,81,25.0,Fail,50.0,Pass,Average,High
S0013,Pranav,Male,CSE,5,23,35,5,63,6.3,C,78,93,27,11,2.9,61,57,57,76,73,39,71,50,21.0,Fail,42.0,Pass,Poor,Medium
S0014,Prachi,Female,Electrical,8,30,70,19,119,10.0,A,76,91,29,11,4.3,71,86,69,51,51,52,59,66,39.67,Fail,69.84,Pass,Excellent,Low
S0015,Aarav,Male,CSE,7,22,28,8,58,5.8,D,77,92,28,9,0.5,58,68,65,36,79,69,47,66,19.33,Fail,38.66,Pass,Poor,High
S0016,Atharva,Male,Mechanical,7,22,20,10,52,5.2,D,64,76,44,2,0.8,59,55,63,48,73,33,71,74,17.33,Fail,34.66,Pass,Poor,High
S0017,Anushka,Female,ENTC,6,26,41,18,85,8.5,A,80,96,24,0,3.3,83,88,47,60,78,62,50,77,28.33,Fail,56.66,Pass,Excellent,Low
S0018,Khushi,Female,CSE,2,29,49,19,97,9.7,A,71,85,35,3,4.3,96,86,63,45,60,32,56,41,32.33,Fail,64.66,Pass,Excellent,Low
S0019,Ritik,Male,CSE,5,28,24,12,64,6.4,C,99,118,2,0,3.0,86,64,60,43,72,71,57,97,21.33,Fail,42.66,Pass,Poor,Medium
S0020,Ishita,Female,Electrical,7,15,10,13,38,3.8,D,66,79,41,6,2.4,94,71,72,30,49,59,56,68,12.67,Fail,25.34,Fail,Poor,High
S0021,Ananya,Female,ENTC,3,8,10,16,34,3.5,D,36,43,77,8,3.5,75,35,78,51,30,34,56,74,11.33,Fail,23.16,Fail,Poor,High
S0022,Tanvi,Female,CSE,4,15,44,9,68,6.8,C,68,81,39,13,4.3,94,81,92,63,84,82,71,30,22.67,Fail,45.34,Pass,Poor,Medium
S0023,Pranav,Male,Mechanical,7,21,49,13,83,8.3,B,90,108,12,6,3.0,83,67,69,75,30,63,34,94,27.67,Fail,55.34,Pass,Average,Low
S0024,Nikhil,Male,Mechanical,7,15,31,9,55,5.5,D,83,99,21,5,4.5,88,90,43,39,62,59,40,53,18.33,Fail,36.66,Pass,Poor,High
S0025,Shubham,Male,Mechanical,5,15,35,25,75,7.5,B,43,51,69,7,3.0,60,72,71,63,72,71,55,50,25.0,Fail,50.0,Pass,Average,High
S0026,Simran,Female,IT,3,13,13,6,32,3.5,D,53,63,57,9,2.4,73,58,68,75,52,65,46,43,10.67,Fail,22.84,Fail,Poor,High
S0027,Siddharth,Male,IT,4,12,46,27,85,8.5,A,71,85,35,14,4.5,96,88,71,76,90,68,68,58,28.33,Fail,56.66,Pass,Excellent,Low
S0028,Rohan,Male,ENTC,5,10,41,14,65,6.5,C,54,64,56,2,0.5,49,68,59,34,63,74,30,41,21.67,Fail,43.34,Pass,Poor,High
S0029,Ishita,Female,Civil,6,21,18,9,48,4.8,D,72,86,34,9,2.6,35,100,41,45,48,34,60,56,16.0,Fail,32.0,Fail,Poor,High
S0030,Nandini,Female,IT,1,17,39,16,72,7.2,B,64,76,44,10,1.7,95,66,45,79,56,63,58,60,24.0,Fail,48.0,Pass,Average,Medium
S0031,Sneha,Female,Mechanical,7,28,34,19,81,8.1,B,84,100,20,13,5.1,77,100,90,49,81,75,47,63,27.0,Fail,54.0,Pass,Average,Low
S0032,Tanvi,Female,Electrical,7,26,37,14,77,7.7,B,76,91,29,7,1.9,81,63,47,69,98,44,66,50,25.67,Fail,51.34,Pass,Average,Low
S0033,Kunal,Male,IT,8,17,54,25,96,9.6,A,84,100,20,2,4.8,70,78,49,80,50,87,60,73,32.0,Fail,64.0,Pass,Excellent,Low
S0034,Simran,Female,Civil,1,9,30,19,58,5.8,D,41,49,71,0,2.7,96,60,48,63,88,66,74,88,19.33,Fail,38.66,Pass,Poor,High
S0035,Aditya,Male,Civil,2,16,58,24,98,9.8,A,72,86,34,1,4.4,64,97,50,52,95,66,36,45,32.67,Fail,65.34,Pass,Excellent,Low
S0036,Rohan,Male,CSE,4,28,22,21,71,7.1,B,55,66,54,0,4.3,62,85,92,31,77,63,47,71,23.67,Fail,47.34,Pass,Average,High
S0037,Akash,Male,Electrical,5,17,39,14,70,7.0,B,46,55,65,6,3.1,66,100,68,65,52,59,63,52,23.33,Fail,46.66,Pass,Average,High
S0038,Diya,Female,Mechanical,2,24,39,19,82,8.2,B,78,93,27,6,7.0,72,100,88,90,84,88,65,78,27.33,Fail,54.66,Pass,Average,Low
S0039,Neha,Female,Mechanical,8,14,16,18,48,4.8,D,61,73,47,2,2.8,79,57,67,44,68,91,39,42,16.0,Fail,32.0,Fail,Poor,High
S0040,Arjun,Male,CSE,6,5,15,9,29,3.5,D,43,51,69,8,0.5,71,50,30,61,64,30,33,58,9.67,Fail,22.34,Fail,Poor,High
S0041,Om,Male,Civil,1,30,14,24,68,6.8,C,89,106,14,5,3.1,92,100,88,56,79,33,59,78,22.67,Fail,45.34,Pass,Poor,Medium
S0042,Prachi,Female,IT,1,20,29,23,72,7.2,B,82,98,22,9,6.0,100,52,54,79,77,65,76,76,24.0,Fail,48.0,Pass,Average,Medium
S0043,Kunal,Male,Electrical,5,14,43,6,63,6.3,C,88,105,15,13,0.9,85,76,30,30,49,71,67,39,21.0,Fail,42.0,Pass,Poor,Medium
S0044,Aditya,Male,ENTC,4,19,57,27,103,10.0,A,60,72,48,6,5.1,92,100,64,85,55,83,56,62,34.33,Fail,67.16,Pass,Excellent,Low
S0045,Kavya,Female,Electrical,4,10,37,14,61,6.1,C,81,97,23,12,4.3,80,61,52,41,69,50,83,50,20.33,Fail,40.66,Pass,Poor,Medium
S0046,Arjun,Male,Mechanical,4,18,59,15,92,9.2,A,63,75,45,2,3.6,79,100,55,70,45,79,78,55,30.67,Fail,61.34,Pass,Excellent,Low
S0047,Sneha,Female,ENTC,1,18,39,15,72,7.2,B,86,103,17,1,3.8,93,70,77,79,86,78,68,100,24.0,Fail,48.0,Pass,Average,Medium
S0048,Riya,Female,ENTC,4,12,16,17,45,4.5,D,51,61,59,5,2.6,100,32,37,39,91,68,53,35,15.0,Fail,30.0,Fail,Poor,High
S0049,Prachi,Female,Electrical,6,30,24,19,73,7.3,B,76,91,29,14,3.9,65,75,31,64,49,68,70,49,24.33,Fail,48.66,Pass,Average,Medium
S0050,Ritik,Male,CSE,4,21,60,18,99,9.9,A,51,61,59,1,4.5,42,83,51,95,92,74,82,31,33.0,Fail,66.0,Pass,Excellent,High
S0051,Khushi,Female,IT,8,26,51,28,105,10.0,A,80,96,24,11,3.6,67,100,73,65,58,75,71,83,35.0,Fail,67.5,Pass,Excellent,Low
S0052,Pranav,Male,Mechanical,6,16,49,23,88,8.8,A,65,78,42,0,0.9,66,40,37,65,57,39,30,57,29.33,Fail,58.66,Pass,Excellent,Low
S0053,Tanvi,Female,Electrical,4,17,55,10,82,8.2,B,74,88,32,8,4.9,96,100,83,55,62,85,66,69,27.33,Fail,54.66,Pass,Average,Low
S0054,Shruti,Female,Electrical,6,11,57,12,80,8.0,B,40,48,72,1,3.9,100,72,44,95,56,41,55,65,26.67,Fail,53.34,Pass,Average,High
S0055,Sneha,Female,Mechanical,2,30,38,15,83,8.3,B,73,87,33,4,5.2,100,100,62,79,63,80,77,53,27.67,Fail,55.34,Pass,Average,Low
S0056,Harsh,Male,CSE,3,23,19,5,47,4.7,D,57,68,52,3,2.9,48,58,44,61,45,85,52,56,15.67,Fail,31.34,Fail,Poor,High
S0057,Arjun,Male,Civil,8,16,40,12,68,6.8,C,69,82,38,14,3.4,87,76,42,52,73,66,78,65,22.67,Fail,45.34,Pass,Poor,Medium
S0058,Arjun,Male,CSE,1,15,38,15,68,6.8,C,62,74,46,13,2.6,88,90,59,65,74,34,80,39,22.67,Fail,45.34,Pass,Poor,Medium
S0059,Harsh,Male,Mechanical,4,5,32,8,45,4.5,D,66,79,41,13,3.8,97,70,90,30,50,42,65,61,15.0,Fail,30.0,Fail,Poor,High
S0060,Aditi,Female,IT,5,15,21,14,50,5.0,D,35,42,78,12,1.7,87,94,70,66,48,83,61,40,16.67,Fail,33.34,Pass,Poor,High
S0061,Sneha,Female,ENTC,7,8,11,17,36,3.6,D,77,92,28,5,3.4,78,41,67,58,82,100,72,53,12.0,Fail,24.0,Fail,Poor,High
S0062,Diya,Female,Mechanical,7,29,50,21,100,10.0,A,78,93,27,3,4.2,63,54,34,90,79,59,93,53,33.33,Fail,66.66,Pass,Excellent,Low
S0063,Ritik,Male,Civil,1,29,68,28,125,10.0,A,57,68,52,5,4.8,100,70,60,84,56,43,43,73,41.67,Fail,70.84,Pass,Excellent,High
S0064,Saurabh,Male,IT,3,24,45,14,83,8.3,B,100,120,0,2,5.5,77,61,81,83,55,52,65,77,27.67,Fail,55.34,Pass,Average,Low
S0065,Atharva,Male,Civil,1,15,26,14,55,5.5,D,76,91,29,11,4.0,89,56,58,66,64,81,95,85,18.33,Fail,36.66,Pass,Poor,High
S0066,Sakshi,Female,CSE,1,13,42,11,66,6.6,C,64,76,44,4,1.9,77,70,71,80,64,72,90,91,22.0,Fail,44.0,Pass,Poor,Medium
S0067,Nandini,Female,CSE,2,19,38,18,75,7.5,B,65,78,42,8,5.4,88,100,88,88,94,62,89,65,25.0,Fail,50.0,Pass,Average,Low
S0068,Shubham,Male,CSE,8,11,39,21,71,7.1,B,80,96,24,12,3.1,37,70,64,44,41,56,54,97,23.67,Fail,47.34,Pass,Average,Medium
S0069,Aditya,Male,Electrical,5,15,27,12,54,5.4,D,50,60,60,1,0.5,82,65,43,44,62,57,50,30,18.0,Fail,36.0,Pass,Poor,High
